service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20220731,20220903
2,0,0,0,0,0,1,0,20220731,20220903
3,0,0,0,0,0,0,1,20220731,20220903
4,0,0,0,0,0,0,0,20220731,20220903
501,0,0,0,0,0,0,0,20220731,20220903
4401,0,0,0,0,0,0,0,20220731,20220903
4501,0,0,0,0,0,0,0,20220731,20220903
401,0,0,0,0,0,0,0,20220731,20220903
